순번,침수 원인(FLUD_CAUSE),침수 지구 명(F_DSTRC_NM),침수 재해 명(F_DSSTR_NM),침수 원인 상세(F_CUE_DTL),행정구역 코드(ADM_CD),침수위(FLUD_WAL),Latitude,Longitude
37347,1,강제지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 강제동,233.1,37.1164317,128.2180472
37348,1,명지지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 강제동,240.7,37.1164317,128.2180472
37351,1,명지지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 강제동,243.3,37.1164317,128.2180472
37358,1,명지지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 명지동,253.8,37.1096895,128.1975034
37361,1,명지지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 명지동,241.8,37.1096895,128.1975034
37376,1,명지지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 명지동,255.3,37.1096895,128.1975034
37379,1,명지지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 명지동,262.3,37.1096895,128.1975034
37382,1,명지지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 명지동,262.3,37.1096895,128.1975034
37383,1,명지지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 명지동,263.8,37.1096895,128.1975034
37412,1,봉양읍 공전지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 공전리,220.4,37.1135169,128.0711228
37416,1,봉양읍 공전지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 공전리,192.1,37.1135169,128.0711228
37418,1,봉양읍 공전지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 공전리,187.3,37.1135169,128.0711228
37421,1,봉양읍 공전지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 공전리,186.7,37.1135169,128.0711228
37426,1,봉양읍 공전지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 공전리,177.7,37.1135169,128.0711228
37430,1,봉양읍 공전지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 공전리,178.8,37.1135169,128.0711228
37444,1,봉양읍 마곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 삼거리,224.7,37.0998168,128.152568
37451,1,봉양읍 마곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 삼거리,233.2,37.0998168,128.152568
37589,1,봉양읍 원박지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 원박리,256.3,37.1334392,128.0772171
37607,1,금성면 구룡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 구룡리,156.3,37.0652856,128.1702244
37608,1,금성면 구룡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 구룡리,152.8,37.0652856,128.1702244
37611,1,금성면 구룡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 구룡리,158.9,37.0652856,128.1702244
37613,1,금성면 구룡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 구룡리,169.2,37.0652856,128.1702244
37614,1,금성면 구룡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 구룡리,163.9,37.0652856,128.1702244
37620,1,금성면 구룡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 구룡리,165.4,37.0652856,128.1702244
37625,1,금성면 동막지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 동막리,224.7,37.0934758,128.2260868
37629,1,금성면 동막지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 동막리,180.1,37.0934758,128.2260868
37631,1,금성면 동막지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 동막리,175.6,37.0934758,128.2260868
37642,1,금성면 사곡지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 금성면 사곡리,166.6,37.0712334,128.1442332
37648,1,금성면 양화지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 양화리,163.3,37.0756948,128.2048022
